"Attribute","factor1","factor2","path"
"Feature1",-0.931950238598747,-0.0262509362362359,1
"Feature2",0.961218786667628,-0.0712158913606168,1
"Feature3",0.946486647997665,0.0803009483755489,1
"Feature4",0.848471029499839,-0.405026795244001,1
"Feature5",-0.756169338275102,-0.447209047957547,1
"Feature6",0.889721182384796,0.232869957785633,1
"Feature7",-0.515309301048465,0.754386143930703,1
"Feature8",-0.787942796628482,0.377127272741018,1
"Feature9",-0.603963199677847,-0.699103003661667,1
"Feature10",-0.531915617608385,-0.752715488680092,1
"Feature11",0.550171099873063,-0.673304337110137,1
"Feature1",0,0,0
"Feature2",0,0,0
"Feature3",0,0,0
"Feature4",0,0,0
"Feature5",0,0,0
"Feature6",0,0,0
"Feature7",0,0,0
"Feature8",0,0,0
"Feature9",0,0,0
"Feature10",0,0,0
"Feature11",0,0,0
